stock_code,title,author,time,parsed_time,read_count,reply_count,url,source,page,crawl_time
300474,苟看了都摇头的票,坚定的韭菜一枚,07-05 11:26,2025-07-05 11:26:00,45,0,"http://guba.eastmoney.com/news,300474,1567941613.html",东方财富,1,2025-07-06 02:02:55
300474,这个公司所有产品都尚存在不确定性，暂不会对公司业绩造成重大影响。,股友35q9139Z89,07-05 05:00,2025-07-05 05:00:00,408,1,"http://guba.eastmoney.com/news,300474,1567923991.html",东方财富,1,2025-07-06 02:02:55
300474,预估下周进入主升浪,刚入市的新韭菜,07-05 08:26,2025-07-05 08:26:00,235,6,http://caifuhao.eastmoney.com/news/20250705202608998860590,东方财富,1,2025-07-06 02:02:55
300474,74没走肠子悔青了,股友8320H9Q097,07-04 06:21,2025-07-04 06:21:00,391,10,"http://guba.eastmoney.com/news,300474,1567835873.html",东方财富,1,2025-07-06 02:02:55
300474,GPU（传统图形处理器）专为图形渲染、游戏画面生成等。而GPGPU（通用计算模式,景嘉微股友,07-04 08:45,2025-07-04 08:45:00,729,3,"http://guba.eastmoney.com/news,300474,1567865708.html",东方财富,1,2025-07-06 02:02:55
300474,KIMI，请问景嘉微有没有退市的风险？它合理的股价应该是多少？根据最新的信息，景,股友547zNU,07-05 05:29,2025-07-05 05:29:00,308,1,http://caifuhao.eastmoney.com/news/20250705172945675224770,东方财富,1,2025-07-06 02:02:55
300474,Kimi，请通过对300474的2023，20242年的财报进行分析，对公司价值,股友547zNU,07-05 05:27,2025-07-05 05:27:00,223,1,http://caifuhao.eastmoney.com/news/20250705172746310080180,东方财富,1,2025-07-06 02:02:55
300474,根本没订单，连葛大佬定增都割肉跑了,爽快得霍伯特,07-04 10:44,2025-07-04 10:44:00,330,3,"http://guba.eastmoney.com/news,300474,1567874613.html",东方财富,1,2025-07-06 02:02:55
300474,人工智能芯片大涨,一触即发666,07-05 09:20,2025-07-05 09:20:00,311,3,"http://guba.eastmoney.com/news,300474,1567897680.html",东方财富,1,2025-07-06 02:02:55
300474,景嘉微参加2025北京无人机大会-便携式反无人机雷达技术：景嘉微的便携式反无人机,股友c0O1216655,07-05 07:19,2025-07-05 07:19:00,384,2,http://caifuhao.eastmoney.com/news/20250705071938410660280,东方财富,1,2025-07-06 02:02:55
