stock_code,title,author,time,parsed_time,read_count,reply_count,url,source,page,crawl_time
002594,汽车图谱｜比亚迪上半年销售超214万辆，智己同比下滑,比亚迪资讯,07-05 11:52,2025-07-05 11:52:00,2105,11,"http://guba.eastmoney.com/news,002594,1567908010.html",东方财富,1,2025-07-06 02:02:52
002594,比亚迪储能与国网湖南综能达成深度合作,比亚迪资讯,07-05 10:40,2025-07-05 10:40:00,2255,12,"http://guba.eastmoney.com/news,002594,1567903098.html",东方财富,1,2025-07-06 02:02:52
002594,比亚迪储能与国网湖南综能达成合作，聚焦集散式储能电力,比亚迪资讯,07-05 12:04,2025-07-05 12:04:00,1326,6,"http://guba.eastmoney.com/news,002594,1567908681.html",东方财富,1,2025-07-06 02:02:52
002594,比亚迪高管轮换，赵长江感觉就是背锅的，真正的问题在王传福,股友Ol88223787,07-05 11:39,2025-07-05 11:39:00,72,2,"http://guba.eastmoney.com/news,002594,1567941939.html",东方财富,1,2025-07-06 02:02:52
002594,比亚迪这么多牛B的技术，很多人都不知道，为什么不花钱推广一下，推广一下新技术很难,zxsm520,07-05 10:44,2025-07-05 10:44:00,92,2,"http://guba.eastmoney.com/news,002594,1567940140.html",东方财富,1,2025-07-06 02:02:52
002594,比亚迪的走法：360平台10天，345平台10天，现在330平台，估计也会有天左,非连续性,07-05 09:43,2025-07-05 09:43:00,494,10,"http://guba.eastmoney.com/news,002594,1567937287.html",东方财富,1,2025-07-06 02:02:52
002594,丰田懵了马斯克傻眼，公务车全换比亚迪，这只是开始 7-4,春暖花开兔摇号,07-04 05:18,2025-07-04 05:18:00,1287,16,http://caifuhao.eastmoney.com/news/20250704051853163957210,东方财富,1,2025-07-06 02:02:52
002594,从比亚迪近期的遭遇看中国新能源汽车的未来我是一名普通投资者，不是汽车圈内人，也不,Lxk83429054,07-05 05:03,2025-07-05 05:03:00,452,9,http://caifuhao.eastmoney.com/news/20250705170337455170780,东方财富,1,2025-07-06 02:02:52
002594,我已经满仓了，早就麻木了[捂脸],白菜2508,07-05 09:41,2025-07-05 09:41:00,177,3,"http://guba.eastmoney.com/news,002594,1567937208.html",东方财富,1,2025-07-06 02:02:52
002594,中国上市公司综合竞争力评价报告放榜，四银行股跻身前十,工商银行资讯,07-01 05:16,2025-07-01 05:16:00,12538,91,"http://guba.eastmoney.com/news,601398,1566323662.html",东方财富,1,2025-07-06 02:02:52
002594,老王一一你为什么不出台续航象理想MEGA1200公里的纯电车。很多人愿意为此多付,n142927439067b5e3524,07-05 09:44,2025-07-05 09:44:00,109,2,"http://guba.eastmoney.com/news,002594,1567937342.html",东方财富,1,2025-07-06 02:02:52
002594,比亚迪纯电重卡Q3在上海虹口北外滩开启试运营,电车汇,07-04 06:37,2025-07-04 06:37:00,2766,13,http://caifuhao.eastmoney.com/news/20250704183751872952290,东方财富,1,2025-07-06 02:02:52
002594,全国用电负荷超14亿千瓦创历史新高2025年7月4日18:54来源：央视新闻客户,股友0a65868g63,07-05 09:30,2025-07-05 09:30:00,264,2,"http://guba.eastmoney.com/news,002594,1567898307.html",东方财富,1,2025-07-06 02:02:52
002594,金叉要来了吗？顺便看下能不能显示等级。,股友37i957626q,07-05 11:17,2025-07-05 11:17:00,70,0,"http://guba.eastmoney.com/news,002594,1567941324.html",东方财富,1,2025-07-06 02:02:52
002594,周末港股,赚200万的方哥,07-05 10:50,2025-07-05 10:50:00,74,0,"http://guba.eastmoney.com/news,002594,1567940369.html",东方财富,1,2025-07-06 02:02:52
002594,长到500，我下次还是买比亚迪车,有远见的香星少18,07-05 10:35,2025-07-05 10:35:00,70,0,"http://guba.eastmoney.com/news,002594,1567939721.html",东方财富,1,2025-07-06 02:02:52
002594,涨到450左右，支持一辆海鸥，涨不到我去支持吉利,股友0o8521c325,07-05 10:04,2025-07-05 10:04:00,89,1,"http://guba.eastmoney.com/news,002594,1567938132.html",东方财富,1,2025-07-06 02:02:52
002594,转让紫江新材料股权，去救一个退市壳威尔泰，侵害紫江企业中小股东权益。,坚守价值投机,07-05 09:05,2025-07-05 09:05:00,494,15,http://caifuhao.eastmoney.com/news/20250705090528569612800,东方财富,1,2025-07-06 02:02:52
002594,主力345急什么，v3透视数据分享给大家,赚200万的方哥,07-05 12:56,2025-07-05 12:56:00,789,3,"http://guba.eastmoney.com/news,002594,1567911484.html",东方财富,1,2025-07-06 02:02:52
002594,7月5号，星期六，热门人气股点评,仙女逆势上涨2,07-05 10:25,2025-07-05 10:25:00,668,1,http://caifuhao.eastmoney.com/news/20250705222551000413940,东方财富,1,2025-07-06 02:02:52
002594,横盘说明触底了，准备反转。,诚实的多雨心1,07-05 08:55,2025-07-05 08:55:00,242,3,"http://guba.eastmoney.com/news,002594,1567895756.html",东方财富,1,2025-07-06 02:02:52
002594,上半年民企发债规模同比增长31%，净融资五年来首转正,中兴通讯资讯,07-04 11:25,2025-07-04 11:25:00,3382,5,"http://guba.eastmoney.com/news,000063,1567878606.html",东方财富,1,2025-07-06 02:02:52
002594,深市这个月的龙头，是宁德时代。在宁德时代上涨过程中，不排除比亚迪会有所反弹，但力,面向大海123,07-05 12:55,2025-07-05 12:55:00,441,2,"http://guba.eastmoney.com/news,002594,1567911429.html",东方财富,1,2025-07-06 02:02:52
002594,比亚迪公司今年一季度利润增长百分之一百。假如今年全年增长百分之五十。那以现在33,股友732877a9c3,07-05 02:48,2025-07-05 02:48:00,3124,28,"http://guba.eastmoney.com/news,002594,1567916986.html",东方财富,1,2025-07-06 02:02:52
002594,腾势事业部总经理赵长江和腾势方程豹直营事业部总经理李慧岗位互换，腾势真的被赵弄得,聪慧的范全,07-05 03:39,2025-07-05 03:39:00,225,3,"http://guba.eastmoney.com/news,002594,1567919604.html",东方财富,1,2025-07-06 02:02:52
